구분,상품명,금융회사,상품유형,최초판매일,판매여부,중도해지,납입원금_24년4분기,적립금_24년4분기,수익률_24년4분기,적립률_24년4분기,공시이율_24년4분기,납입원금_24년,적립금_24년,수익률_24년,적립률_24년,공시이율_24년,장기수익율_3년,장기수익율_5년,장기수익율_7년,장기수익율_10년,장기수수료율_3년,장기수수료율_5년,장기수수료율_7년,장기수수료율_10년
연금저축생명보험,연금저축삼성골드연금보험1.1,삼성생명보험,금리연동형,2006-04-03,중단,불가능,602007,883190,3.82,0,0,602007,883190,3.82,0,0,3.88,3.51,3.39,3.15,0.21,0.23,0.24,0.39
연금저축생명보험,연금저축골드연금보험1.0(일반용),삼성생명보험,금리연동형,2010-06-01,중단,불가능,724665,865551,3.22,0,0,724665,865551,3.22,0,0,2.92,2.57,2.37,2.07,0.26,0.43,0.6,0.88
연금저축생명보험,"연금저축SAVE연금보험,Ⅰ,Ⅱ",미래에셋생명보험,금리연동형,2006-04-01,중단,불가능,1235363,771519,1.49,0,0,1235363,771519,1.49,0,0,1.5,1.43,1.48,1.71,0.02,0.02,0.03,0.09
연금저축생명보험,연금저축교보연금보험,교보생명보험,금리연동형,2009-10-01,중단,불가능,602949,703318,2.88,0,0,602949,703318,2.88,0,0,2.74,2.37,2.19,1.83,0.24,0.45,0.47,0.81
연금저축생명보험,연금저축교보연금보험,교보생명보험,금리연동형,2006-04-01,중단,불가능,510592,679498,3.27,0,0,510592,679498,3.27,0,0,3.12,2.85,2.74,2.56,0.24,0.27,0.28,0.43
연금저축생명보험,연금저축삼성에이스골드연금보험B1.2,삼성생명보험,금리연동형,2010-06-14,중단,불가능,487074,595845,3.34,0,0,487074,595845,3.34,0,0,3.03,2.73,2.54,2.13,0.21,0.31,0.46,0.89
연금저축생명보험,연금저축삼성골드연금보험(B1.1),삼성생명보험,금리연동형,2006-04-03,중단,불가능,334186,532484,4.14,0,0,334186,532484,4.14,0,0,4.17,3.76,3.61,3.32,0.2,0.21,0.22,0.38
연금저축생명보험,연금저축KB프라임연금보험,KB라이프생명보험,금리연동형,2006-04-03,중단,불가능,339978,478011,4.05,0,0,339978,478011,4.05,0,0,3.36,3,2.94,2.65,0.22,0.23,0.24,0.43
연금저축생명보험,연금저축NH세테크연금보험,농협생명보험,금리연동형,2012-03-02,중단,불가능,397868,441326,2.6,0,0,397868,441326,2.6,0,0,2.49,2.3,2,1.51,0.41,0.47,0.68,1.16
연금저축생명보험,연금저축교보연금보험,교보생명보험,금리연동형,2004-03-16,중단,불가능,256457,354278,3.43,0,0,256457,354278,3.43,0,0,3.26,2.93,2.87,2.84,0.21,0.22,0.23,0.25
연금저축생명보험,연금저축 대한하이드림연금보험,한화생명보험,금리연동형,2010-06-01,중단,불가능,306910,348697,4.15,0,0,306910,348697,4.15,0,0,4.75,4.49,3.61,2.52,0.27,0.38,0.56,0.82
연금저축생명보험,"연금저축SAVE연금보험III,Ⅳ,1104",미래에셋생명보험,금리연동형,2009-12-31,중단,불가능,555540,342560,1.49,0,0,555540,342560,1.49,0,0,1.55,1.53,1.55,1.55,0.02,0.05,0.12,0.42
연금저축생명보험,연금저축NH세테크연금보험(v2),농협생명보험,금리연동형,2013-04-08,중단,불가능,302910,332033,2.74,0,0,302910,332033,2.74,0,0,2.52,2.22,1.88,1.2,0.44,0.58,0.83,1.5
연금저축생명보험,연금저축교보연금보험,교보생명보험,금리연동형,2005-06-15,중단,불가능,233666,321599,3.36,0,0,233666,321599,3.36,0,0,3.21,2.88,2.82,2.77,0.23,0.25,0.25,0.29
연금저축생명보험,연금저축삼성골드연금보험1.2,삼성생명보험,금리연동형,2008-04-24,중단,불가능,233686,315228,3.49,0,0,233686,315228,3.49,0,0,3.59,3.24,3.07,2.78,0.23,0.24,0.31,0.52
연금저축생명보험,연금저축삼성골드연금보험,삼성생명보험,금리연동형,2005-07-01,중단,불가능,189243,290300,3.99,0,0,189243,290300,3.99,0,0,4.05,3.67,3.54,3.41,0.22,0.23,0.25,0.28
연금저축생명보험,연금저축 골드연금보험1.4,삼성생명보험,금리연동형,2013-04-01,중단,불가능,255336,283578,2.86,0,0,255336,283578,2.86,0,0,2.59,2.1,1.84,1.21,0.51,0.68,0.89,1.5
연금저축생명보험,세테크NH연금저축보험_1701,농협생명보험,금리연동형,2017-01-02,중단,불가능,269094,277852,1.83,0,0,269094,277852,1.83,0,0,1.54,1.09,0.37,0,0.89,1.19,1.93,0
연금저축생명보험,연금저축삼성에이스골드연금보험(B1.6),삼성생명보험,금리연동형,2013-04-01,중단,불가능,237712,269890,2.91,0,0,237712,269890,2.91,0,0,2.68,2.21,1.98,1.4,0.47,0.61,0.79,1.35
연금저축생명보험,연금저축삼성골드연금보험,삼성생명보험,금리연동형,2003-10-27,중단,불가능,165647,262046,4.11,0,0,165647,262046,4.11,0,0,4.17,3.77,3.63,3.51,0.22,0.22,0.24,0.26
연금저축생명보험,연금저축 하이드림Free연금보험,한화생명보험,금리연동형,2007-04-02,중단,불가능,179636,256914,4.3,0,0,179636,256914,4.3,0,0,4.62,4.7,5.08,4.89,0.25,0.26,0.26,0.41
연금저축생명보험,(연금저축)자유적립연금보험,케이디비생명보험,금리연동형,2006-04-03,중단,불가능,156027,241332,3.92,0,0,156027,241332,3.92,0,0,3.6,3.18,3,2.89,0.22,0.23,0.24,0.35
연금저축생명보험,연금저축 하이드림Free연금보험,한화생명보험,금리연동형,2006-07-26,중단,불가능,154597,234969,4.8,0,0,154597,234969,4.8,0,0,5.04,5.09,5.25,5.46,0.25,0.26,0.26,0.35
연금저축생명보험,세테크NH연금저축보험_1504,농협생명보험,금리연동형,2015-04-01,중단,불가능,204387,216035,2.13,0,0,204387,216035,2.13,0,0,1.92,1.65,1.31,0,0.68,0.91,1.24,0
연금저축생명보험,연금저축골드연금보험1.2(일반용),삼성생명보험,금리연동형,2012-07-02,중단,불가능,175119,200316,3.09,0,0,175119,200316,3.09,0,0,2.74,2.4,2.14,1.67,0.38,0.57,0.76,1.19
연금저축생명보험,연금저축 대한하이드림연금보험,한화생명보험,금리연동형,2005-09-23,중단,불가능,119637,197520,5.43,0,0,119637,197520,5.43,0,0,5.71,5.65,5.75,6.3,0.22,0.22,0.23,0.24
연금저축생명보험,연금저축골드연금보험2.1(일반용),삼성생명보험,금리연동형,2017-01-01,중단,불가능,196434,197041,1.55,0,0,196434,197041,1.55,0,0,1.3,0.68,-0.65,0,1.39,1.82,3.01,0
연금저축생명보험,연금저축삼성골드연금보험(B1.2),삼성생명보험,금리연동형,2008-04-01,중단,불가능,134061,191233,3.7,0,0,134061,191233,3.7,0,0,3.79,3.41,3.22,2.88,0.2,0.21,0.27,0.49
연금저축생명보험,세테크NH연금저축보험_1804,농협생명보험,금리연동형,2018-04-02,중단,불가능,188268,190722,1.54,0,0,188268,190722,1.54,0,0,1.1,0.35,0,0,1.25,1.87,0,0
연금저축생명보험,세테크NH연금저축보험_1604,농협생명보험,금리연동형,2016-04-01,중단,불가능,179545,186156,1.94,0,0,179545,186156,1.94,0,0,1.6,1.2,0.77,0,0.82,1.1,1.59,0
연금저축생명보험,연금저축교보연금보험,교보생명보험,금리연동형,2012-04-01,중단,불가능,167082,185528,2.72,0,0,167082,185528,2.72,0,0,2.55,2.15,1.87,1.39,0.3,0.66,0.71,1.16
연금저축생명보험,(연금저축)자유적립연금보험,케이디비생명보험,금리연동형,2007-07-02,중단,불가능,120366,181049,4.14,0,0,120366,181049,4.14,0,0,3.96,3.8,3.65,3.31,0.22,0.23,0.24,0.42
연금저축생명보험,연금저축교보First연금보험,교보생명보험,금리연동형,2017-01-01,중단,불가능,172854,176441,1.68,0,0,172854,176441,1.68,0,0,1.44,0.97,0.12,0,1,1.76,2.18,0
연금저축생명보험,연금저축흥국드림테크연금보험Ⅳ,흥국생명보험,금리연동형,2006-04-01,중단,불가능,105750,173614,4.08,0,0,105750,173614,4.08,0,0,3.6,3.18,3.06,2.95,0.07,0.08,0.08,0.21
연금저축생명보험,연금저축삼성골드연금보험(방카용),삼성생명보험,금리연동형,2005-07-01,중단,불가능,101272,172962,4.43,0,0,101272,172962,4.43,0,0,4.44,4,3.83,3.66,0.23,0.23,0.24,0.27
연금저축생명보험,연금저축골드연금보험2.7(일반용),삼성생명보험,금리연동형,2021-01-01,중단,불가능,181362,172217,-1.43,0,0,181362,172217,-1.43,0,0,-4.18,0,0,0,6.31,0,0,0
연금저축생명보험,세테크NH연금저축보험(무배당)_2101,농협생명보험,금리연동형,2021-01-01,중단,불가능,167842,165133,0.4,0,0,167842,165133,0.4,0,0,-1.49,0,0,0,3.79,0,0,0
연금저축생명보험,현대라이프 연금보험 연금저축(법인),푸본현대생명보험,금리연동형,2012-11-05,중단,불가능,147042,163687,2.1,0,0,147042,163687,2.1,0,0,2.18,2.1,1.96,1.76,0.67,0.78,0.95,1.36
연금저축생명보험,세테크NH연금저축보험_1601,농협생명보험,금리연동형,2016-01-04,중단,불가능,154140,160490,2.02,0,0,154140,160490,2.02,0,0,1.71,1.31,0.93,0,0.75,1.01,1.42,0
연금저축생명보험,세테크NH연금저축보험_1501,농협생명보험,금리연동형,2015-01-02,중단,불가능,143059,151753,2.16,0,0,143059,151753,2.16,0,0,2,1.74,1.41,-2.25,0.62,0.84,1.13,3.99
연금저축생명보험,무배당 연금저축 IBK연금보험_1801,아이비케이연금보험 ,금리연동형,2018-01-01,중단,불가능,147731,151082,1.86,0,0,147731,151082,1.86,0,0,1.4,0.76,0,0,1.18,1.74,0,0
연금저축생명보험,세테크NH연금저축보험,농협생명보험,금리연동형,2014-04-18,중단,불가능,138919,150141,2.66,0,0,138919,150141,2.66,0,0,2.42,2.05,1.69,0.54,0.47,0.69,0.97,2.04
연금저축생명보험,연금저축 마이플랜 연금보험,푸본현대생명보험,금리연동형,2006-06-21,중단,불가능,96510,149085,4.05,0,0,96510,149085,4.05,0,0,3.62,3.43,3.24,3,0.23,0.24,0.24,0.4
연금저축생명보험,연금저축교보First연금보험,교보생명보험,금리연동형,2016-04-01,중단,불가능,139864,144777,1.84,0,0,139864,144777,1.84,0,0,1.65,1.25,0.8,0,0.88,1.34,1.5,0
연금저축생명보험,연금저축골드연금보험B2.3,삼성생명보험,금리연동형,2017-01-01,중단,불가능,138606,143717,1.97,0,0,138606,143717,1.97,0,0,1.81,1.27,0.28,0,0.98,1.32,2.19,0
연금저축생명보험,연금저축 하이드림Free연금보험,한화생명보험,금리연동형,2008-04-01,중단,불가능,104686,142073,3.98,0,0,104686,142073,3.98,0,0,4.33,4.34,4.87,4.47,0.25,0.26,0.31,0.47
연금저축생명보험,(연금저축)자유적립연금보험,케이디비생명보험,금리연동형,2005-10-13,중단,불가능,77446,135256,4.41,0,0,77446,135256,4.41,0,0,4,3.5,3.29,3.15,0.23,0.23,0.23,0.29
연금저축생명보험,연금저축교보First연금보험,교보생명보험,금리연동형,2015-04-01,중단,불가능,125370,132065,2.07,0,0,125370,132065,2.07,0,0,1.94,1.54,1.23,0,0.8,1.1,1.2,0
연금저축생명보험,연금저축삼성골드연금보험2.0,삼성생명보험,금리연동형,2009-09-01,중단,불가능,102303,131467,3.49,0,0,102303,131467,3.49,0,0,3.39,3.09,2.84,2.56,0.25,0.25,0.4,0.62
연금저축생명보험,연금저축골드연금보험1.5(일반용),삼성생명보험,금리연동형,2014-04-01,중단,불가능,118963,129654,2.54,0,0,118963,129654,2.54,0,0,2.48,2.05,1.71,0.53,0.68,0.86,1.1,2.15
연금저축생명보험,연금저축교보연금보험,교보생명보험,금리연동형,2009-02-01,중단,불가능,103722,128556,3.01,0,0,103722,128556,3.01,0,0,2.89,2.58,2.47,2.25,0.24,0.27,0.3,0.49
